Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Dec 21 2018,7:00p,Cleveland Cavaliers,110,Toronto Raptors,126,Box Score,,19800,Scotiabank Arena,
Fri Dec 21 2018,7:30p,Indiana Pacers,114,Brooklyn Nets,106,Box Score,,13302,Barclays Center,
Fri Dec 21 2018,7:30p,Atlanta Hawks,114,New York Knicks,107,Box Score,,19080,Madison Square Garden (IV),
Fri Dec 21 2018,8:00p,Milwaukee Bucks,120,Boston Celtics,107,Box Score,,18624,TD Garden,
Fri Dec 21 2018,8:00p,Orlando Magic,80,Chicago Bulls,90,Box Score,,20436,United Center,
Fri Dec 21 2018,8:30p,Minnesota Timberwolves,98,San Antonio Spurs,124,Box Score,,17708,AT&T Center,
Fri Dec 21 2018,10:00p,Utah Jazz,120,Portland Trail Blazers,90,Box Score,,19127,Moda Center,
Fri Dec 21 2018,10:00p,Memphis Grizzlies,99,Sacramento Kings,102,Box Score,,16369,Golden 1 Center,
Fri Dec 21 2018,10:30p,New Orleans Pelicans,104,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Sat Dec 22 2018,5:00p,Denver Nuggets,111,Los Angeles Clippers,132,Box Score,,16571,STAPLES Center,
Sat Dec 22 2018,7:00p,Phoenix Suns,146,Washington Wizards,149,Box Score,3OT,16571,Capital One Arena,
Sat Dec 22 2018,7:30p,Toronto Raptors,101,Philadelphia 76ers,126,Box Score,,20691,Wells Fargo Center,
Sat Dec 22 2018,8:00p,San Antonio Spurs,101,Houston Rockets,108,Box Score,,18055,Toyota Center,
Sat Dec 22 2018,8:00p,Milwaukee Bucks,87,Miami Heat,94,Box Score,,19600,AmericanAirlines Arena,
Sat Dec 22 2018,8:30p,Dallas Mavericks,116,Golden State Warriors,120,Box Score,,19596,Oracle Arena,
Sat Dec 22 2018,9:00p,Oklahoma City Thunder,107,Utah Jazz,106,Box Score,,18306,Vivint Smart Home Arena,
Sun Dec 23 2018,4:00p,Atlanta Hawks,98,Detroit Pistons,95,Box Score,,16532,Little Caesars Arena,
Sun Dec 23 2018,5:00p,Washington Wizards,89,Indiana Pacers,105,Box Score,,17923,Bankers Life Fieldhouse,
Sun Dec 23 2018,6:00p,Charlotte Hornets,103,Boston Celtics,119,Box Score,,18624,TD Garden,
Sun Dec 23 2018,6:00p,Phoenix Suns,103,Brooklyn Nets,111,Box Score,,15310,Barclays Center,
Sun Dec 23 2018,6:00p,Chicago Bulls,112,Cleveland Cavaliers,92,Box Score,,19432,Quicken Loans Arena,
Sun Dec 23 2018,6:00p,Miami Heat,115,Orlando Magic,91,Box Score,,18846,Amway Center,
Sun Dec 23 2018,6:00p,New Orleans Pelicans,117,Sacramento Kings,122,Box Score,,16643,Golden 1 Center,
Sun Dec 23 2018,8:00p,Minnesota Timberwolves,114,Oklahoma City Thunder,112,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 23 2018,8:30p,Los Angeles Clippers,127,Golden State Warriors,129,Box Score,,19596,Oracle Arena,
Sun Dec 23 2018,9:00p,Dallas Mavericks,118,Portland Trail Blazers,121,Box Score,OT,19707,Moda Center,
Sun Dec 23 2018,9:30p,Memphis Grizzlies,107,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,
Tue Dec 25 2018,12:00p,Milwaukee Bucks,109,New York Knicks,95,Box Score,,19812,Madison Square Garden (IV),
Tue Dec 25 2018,3:00p,Oklahoma City Thunder,109,Houston Rockets,113,Box Score,,18055,Toyota Center,
Tue Dec 25 2018,5:30p,Philadelphia 76ers,114,Boston Celtics,121,Box Score,OT,18624,TD Garden,
Tue Dec 25 2018,8:00p,Los Angeles Lakers,127,Golden State Warriors,101,Box Score,,19596,Oracle Arena,
Tue Dec 25 2018,10:30p,Portland Trail Blazers,96,Utah Jazz,117,Box Score,,18306,Vivint Smart Home Arena,
Wed Dec 26 2018,7:00p,Washington Wizards,95,Detroit Pistons,106,Box Score,,17534,Little Caesars Arena,
Wed Dec 26 2018,7:00p,Phoenix Suns,122,Orlando Magic,120,Box Score,OT,16755,Amway Center,
Wed Dec 26 2018,7:30p,Indiana Pacers,129,Atlanta Hawks,121,Box Score,,15026,State Farm Arena,
Wed Dec 26 2018,7:30p,Charlotte Hornets,132,Brooklyn Nets,134,Box Score,2OT,14309,Barclays Center,
Wed Dec 26 2018,7:30p,Toronto Raptors,106,Miami Heat,104,Box Score,,19902,AmericanAirlines Arena,
Wed Dec 26 2018,8:00p,Minnesota Timberwolves,119,Chicago Bulls,94,Box Score,,21852,United Center,
Wed Dec 26 2018,8:00p,Cleveland Cavaliers,87,Memphis Grizzlies,95,Box Score,,16424,FedEx Forum,
Wed Dec 26 2018,8:30p,New Orleans Pelicans,119,Dallas Mavericks,122,Box Score,,20340,American Airlines Center,
Wed Dec 26 2018,8:30p,Denver Nuggets,103,San Antonio Spurs,111,Box Score,,18408,AT&T Center,
Wed Dec 26 2018,10:30p,Sacramento Kings,118,Los Angeles Clippers,127,Box Score,,19068,STAPLES Center,
Thu Dec 27 2018,8:00p,Boston Celtics,113,Houston Rockets,127,Box Score,,18055,Toyota Center,
Thu Dec 27 2018,8:00p,New York Knicks,96,Milwaukee Bucks,112,Box Score,,18058,Fiserv Forum,
Thu Dec 27 2018,10:00p,Los Angeles Lakers,116,Sacramento Kings,117,Box Score,,17583,Golden 1 Center,
Thu Dec 27 2018,10:30p,Portland Trail Blazers,110,Golden State Warriors,109,Box Score,OT,19596,Oracle Arena,
Thu Dec 27 2018,10:30p,Philadelphia 76ers,114,Utah Jazz,97,Box Score,,18306,Vivint Smart Home Arena,
Fri Dec 28 2018,7:00p,Brooklyn Nets,87,Charlotte Hornets,100,Box Score,,19411,Spectrum Center,
Fri Dec 28 2018,7:00p,Detroit Pistons,88,Indiana Pacers,125,Box Score,,17923,Bankers Life Fieldhouse,
Fri Dec 28 2018,7:00p,Toronto Raptors,87,Orlando Magic,116,Box Score,,18846,Amway Center,
Fri Dec 28 2018,7:00p,Chicago Bulls,101,Washington Wizards,92,Box Score,,20409,Capital One Arena,
Fri Dec 28 2018,8:00p,Cleveland Cavaliers,94,Miami Heat,118,Box Score,,19617,AmericanAirlines Arena,
Fri Dec 28 2018,8:00p,Atlanta Hawks,123,Minnesota Timberwolves,120,Box Score,OT,18978,Target Center,
Fri Dec 28 2018,8:00p,Dallas Mavericks,112,New Orleans Pelicans,114,Box Score,,18364,Smoothie King Center,
Fri Dec 28 2018,9:00p,San Antonio Spurs,99,Denver Nuggets,102,Box Score,,20076,Pepsi Center,
Fri Dec 28 2018,9:00p,Oklahoma City Thunder,118,Phoenix Suns,102,Box Score,,18055,Talking Stick Resort Arena,
Fri Dec 28 2018,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,107,Box Score,,18997,STAPLES Center,
Sat Dec 29 2018,5:00p,Brooklyn Nets,115,Milwaukee Bucks,129,Box Score,,17918,Fiserv Forum,
Sat Dec 29 2018,7:00p,Houston Rockets,108,New Orleans Pelicans,104,Box Score,,17555,Smoothie King Center,
Sat Dec 29 2018,7:00p,Charlotte Hornets,126,Washington Wizards,130,Box Score,,17197,Capital One Arena,
Sat Dec 29 2018,7:30p,Cleveland Cavaliers,108,Atlanta Hawks,111,Box Score,,16460,State Farm Arena,
Sat Dec 29 2018,8:00p,Boston Celtics,112,Memphis Grizzlies,103,Box Score,,17794,FedEx Forum,
Sat Dec 29 2018,8:00p,New York Knicks,97,Utah Jazz,129,Box Score,,18306,Vivint Smart Home Arena,
Sat Dec 29 2018,9:00p,Denver Nuggets,122,Phoenix Suns,118,Box Score,,14975,Talking Stick Resort Arena,
Sat Dec 29 2018,10:00p,Golden State Warriors,115,Portland Trail Blazers,105,Box Score,,19797,Moda Center,
Sat Dec 29 2018,10:30p,San Antonio Spurs,122,Los Angeles Clippers,111,Box Score,,19068,STAPLES Center,
Sun Dec 30 2018,3:30p,Detroit Pistons,107,Orlando Magic,109,Box Score,,17761,Amway Center,
Sun Dec 30 2018,6:00p,Minnesota Timberwolves,113,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,
Sun Dec 30 2018,6:00p,Chicago Bulls,89,Toronto Raptors,95,Box Score,,19800,Scotiabank Arena,
Sun Dec 30 2018,7:00p,Oklahoma City Thunder,103,Dallas Mavericks,105,Box Score,,20380,American Airlines Center,
Sun Dec 30 2018,9:00p,Philadelphia 76ers,95,Portland Trail Blazers,129,Box Score,,19393,Moda Center,
Sun Dec 30 2018,9:30p,Sacramento Kings,114,Los Angeles Lakers,121,Box Score,,18997,STAPLES Center,
Mon Dec 31 2018,3:00p,Atlanta Hawks,108,Indiana Pacers,116,Box Score,,17923,Bankers Life Fieldhouse,
Mon Dec 31 2018,6:00p,Orlando Magic,100,Charlotte Hornets,125,Box Score,,14694,Spectrum Center,
Mon Dec 31 2018,7:00p,Memphis Grizzlies,101,Houston Rockets,113,Box Score,,18055,Toyota Center,
Mon Dec 31 2018,7:00p,Boston Celtics,111,San Antonio Spurs,120,Box Score,,18354,AT&T Center,
Mon Dec 31 2018,8:00p,Minnesota Timberwolves,114,New Orleans Pelicans,123,Box Score,,14904,Smoothie King Center,
Mon Dec 31 2018,8:00p,Dallas Mavericks,102,Oklahoma City Thunder,122,Box Score,,18203,Chesapeake Energy Arena,
Mon Dec 31 2018,9:00p,Golden State Warriors,132,Phoenix Suns,109,Box Score,,16906,Talking Stick Resort Arena,
Tue Jan 1 2019,7:30p,Utah Jazz,116,Toronto Raptors,122,Box Score,,19800,Scotiabank Arena,
Tue Jan 1 2019,8:00p,Detroit Pistons,98,Milwaukee Bucks,121,Box Score,,17534,Fiserv Forum,
Tue Jan 1 2019,9:00p,New York Knicks,108,Denver Nuggets,115,Box Score,,19520,Pepsi Center,
Tue Jan 1 2019,9:00p,Portland Trail Blazers,113,Sacramento Kings,108,Box Score,OT,17583,Golden 1 Center,
Tue Jan 1 2019,10:30p,Philadelphia 76ers,119,Los Angeles Clippers,113,Box Score,,17868,STAPLES Center,
Wed Jan 2 2019,7:00p,Dallas Mavericks,122,Charlotte Hornets,84,Box Score,,16955,Spectrum Center,
Wed Jan 2 2019,7:00p,Miami Heat,117,Cleveland Cavaliers,92,Box Score,,19432,Quicken Loans Arena,
Wed Jan 2 2019,7:00p,Atlanta Hawks,98,Washington Wizards,114,Box Score,,15324,Capital One Arena,
Wed Jan 2 2019,7:30p,New Orleans Pelicans,121,Brooklyn Nets,126,Box Score,,16890,Barclays Center,
Wed Jan 2 2019,8:00p,Minnesota Timberwolves,102,Boston Celtics,115,Box Score,,18624,TD Garden,
Wed Jan 2 2019,8:00p,Orlando Magic,112,Chicago Bulls,84,Box Score,,19013,United Center,
Wed Jan 2 2019,8:00p,Detroit Pistons,101,Memphis Grizzlies,94,Box Score,,14109,FedEx Forum,
Wed Jan 2 2019,9:00p,Philadelphia 76ers,132,Phoenix Suns,127,Box Score,,15226,Talking Stick Resort Arena,
Wed Jan 2 2019,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,100,Box Score,,18997,STAPLES Center,
Thu Jan 3 2019,8:00p,Toronto Raptors,107,San Antonio Spurs,125,Box Score,,18354,AT&T Center,
Thu Jan 3 2019,10:00p,Denver Nuggets,117,Sacramento Kings,113,Box Score,,17583,Golden 1 Center,
Thu Jan 3 2019,10:30p,Houston Rockets,135,Golden State Warriors,134,Box Score,OT,19596,Oracle Arena,
Fri Jan 4 2019,7:30p,Utah Jazz,117,Cleveland Cavaliers,91,Box Score,,19432,Quicken Loans Arena,
Fri Jan 4 2019,8:00p,Dallas Mavericks,93,Boston Celtics,114,Box Score,,18624,TD Garden,
Fri Jan 4 2019,8:00p,Indiana Pacers,119,Chicago Bulls,116,Box Score,OT,21284,United Center,
Fri Jan 4 2019,8:00p,Brooklyn Nets,109,Memphis Grizzlies,100,Box Score,,16683,FedEx Forum,
Fri Jan 4 2019,8:00p,Washington Wizards,109,Miami Heat,115,Box Score,,19600,AmericanAirlines Arena,
Fri Jan 4 2019,8:00p,Orlando Magic,103,Minnesota Timberwolves,120,Box Score,,14355,Target Center,
Fri Jan 4 2019,8:30p,Atlanta Hawks,112,Milwaukee Bucks,144,Box Score,,17632,Fiserv Forum,
Fri Jan 4 2019,9:00p,Los Angeles Clippers,121,Phoenix Suns,111,Box Score,,14764,Talking Stick Resort Arena,
Fri Jan 4 2019,10:30p,New York Knicks,119,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Fri Jan 4 2019,10:30p,Oklahoma City Thunder,111,Portland Trail Blazers,109,Box Score,,19393,Moda Center,
Sat Jan 5 2019,5:00p,Charlotte Hornets,110,Denver Nuggets,123,Box Score,,19861,Pepsi Center,
Sat Jan 5 2019,7:00p,Utah Jazz,110,Detroit Pistons,105,Box Score,,17255,Little Caesars Arena,
Sat Jan 5 2019,7:30p,Dallas Mavericks,100,Philadelphia 76ers,106,Box Score,,20656,Wells Fargo Center,
Sat Jan 5 2019,8:00p,New Orleans Pelicans,133,Cleveland Cavaliers,98,Box Score,,19432,Quicken Loans Arena,
Sat Jan 5 2019,8:30p,Toronto Raptors,123,Milwaukee Bucks,116,Box Score,,18028,Fiserv Forum,
Sat Jan 5 2019,8:30p,Memphis Grizzlies,88,San Antonio Spurs,108,Box Score,,18354,AT&T Center,
Sat Jan 5 2019,10:00p,Houston Rockets,101,Portland Trail Blazers,110,Box Score,,19577,Moda Center,
Sat Jan 5 2019,10:00p,Golden State Warriors,127,Sacramento Kings,123,Box Score,,17583,Golden 1 Center,
Sun Jan 6 2019,3:30p,Brooklyn Nets,117,Chicago Bulls,100,Box Score,,19265,United Center,
Sun Jan 6 2019,3:30p,Orlando Magic,96,Los Angeles Clippers,106,Box Score,,16616,STAPLES Center,
Sun Jan 6 2019,3:30p,Los Angeles Lakers,86,Minnesota Timberwolves,108,Box Score,,18978,Target Center,
Sun Jan 6 2019,6:00p,Miami Heat,82,Atlanta Hawks,106,Box Score,,16630,State Farm Arena,
Sun Jan 6 2019,7:00p,Washington Wizards,116,Oklahoma City Thunder,98,Box Score,,18203,Chesapeake Energy Arena,
Sun Jan 6 2019,7:30p,Indiana Pacers,105,Toronto Raptors,121,Box Score,,19800,Scotiabank Arena,
Sun Jan 6 2019,8:00p,Charlotte Hornets,119,Phoenix Suns,113,Box Score,,13110,Talking Stick Resort Arena,
Mon Jan 7 2019,7:00p,San Antonio Spurs,119,Detroit Pistons,107,Box Score,,13107,Little Caesars Arena,
Mon Jan 7 2019,7:30p,Brooklyn Nets,95,Boston Celtics,116,Box Score,,18624,TD Garden,
Mon Jan 7 2019,8:00p,Denver Nuggets,113,Houston Rockets,125,Box Score,,18055,Toyota Center,
Mon Jan 7 2019,8:00p,Utah Jazz,102,Milwaukee Bucks,114,Box Score,,17341,Fiserv Forum,
Mon Jan 7 2019,8:00p,Memphis Grizzlies,95,New Orleans Pelicans,114,Box Score,,14624,Smoothie King Center,
Mon Jan 7 2019,8:30p,Los Angeles Lakers,107,Dallas Mavericks,97,Box Score,,20354,American Airlines Center,
Mon Jan 7 2019,10:00p,New York Knicks,101,Portland Trail Blazers,111,Box Score,,19026,Moda Center,
Mon Jan 7 2019,10:00p,Orlando Magic,95,Sacramento Kings,111,Box Score,,15724,Golden 1 Center,
Tue Jan 8 2019,7:00p,Indiana Pacers,123,Cleveland Cavaliers,115,Box Score,,19432,Quicken Loans Arena,
Tue Jan 8 2019,7:00p,Washington Wizards,115,Philadelphia 76ers,132,Box Score,,20446,Wells Fargo Center,
Tue Jan 8 2019,7:30p,Denver Nuggets,103,Miami Heat,99,Box Score,,19600,AmericanAirlines Arena,
Tue Jan 8 2019,7:30p,Atlanta Hawks,101,Toronto Raptors,104,Box Score,,19800,Scotiabank Arena,
Tue Jan 8 2019,8:00p,Minnesota Timberwolves,119,Oklahoma City Thunder,117,Box Score,,18203,Chesapeake Energy Arena,
Tue Jan 8 2019,9:00p,Sacramento Kings,111,Phoenix Suns,115,Box Score,,13977,Talking Stick Resort Arena,
Tue Jan 8 2019,10:30p,New York Knicks,95,Golden State Warriors,122,Box Score,,19596,Oracle Arena,
Tue Jan 8 2019,10:30p,Charlotte Hornets,109,Los Angeles Clippers,128,Box Score,,15275,STAPLES Center,
Wed Jan 9 2019,7:00p,Indiana Pacers,108,Boston Celtics,135,Box Score,,18624,TD Garden,
Wed Jan 9 2019,7:00p,Philadelphia 76ers,106,Washington Wizards,123,Box Score,,18039,Capital One Arena,
Wed Jan 9 2019,7:30p,Atlanta Hawks,100,Brooklyn Nets,116,Box Score,,14531,Barclays Center,
Wed Jan 9 2019,8:00p,Milwaukee Bucks,116,Houston Rockets,109,Box Score,,18055,Toyota Center,
Wed Jan 9 2019,8:00p,San Antonio Spurs,86,Memphis Grizzlies,96,Box Score,,13944,FedEx Forum,
Wed Jan 9 2019,8:00p,Cleveland Cavaliers,124,New Orleans Pelicans,140,Box Score,,15058,Smoothie King Center,
Wed Jan 9 2019,8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,19596,American Airlines Center,
Wed Jan 9 2019,9:00p,Orlando Magic,93,Utah Jazz,106,Box Score,,18306,Vivint Smart Home Arena,
Wed Jan 9 2019,10:00p,Chicago Bulls,112,Portland Trail Blazers,124,Box Score,,19393,Moda Center,
Wed Jan 9 2019,10:30p,Detroit Pistons,100,Los Angeles Lakers,113,Box Score,,18997,STAPLES Center,
Thu Jan 10 2019,7:00p,Boston Celtics,99,Miami Heat,115,Box Score,,19600,AmericanAirlines Arena,
Thu Jan 10 2019,9:00p,Los Angeles Clippers,100,Denver Nuggets,121,Box Score,,15742,Pepsi Center,
Thu Jan 10 2019,9:30p,Oklahoma City Thunder,147,San Antonio Spurs,154,Box Score,2OT,18354,AT&T Center,
Thu Jan 10 2019,10:00p,Detroit Pistons,102,Sacramento Kings,112,Box Score,,16916,Golden 1 Center,
Fri Jan 11 2019,7:00p,Atlanta Hawks,123,Philadelphia 76ers,121,Box Score,,20487,Wells Fargo Center,
Fri Jan 11 2019,7:00p,Milwaukee Bucks,106,Washington Wizards,113,Box Score,,17996,Capital One Arena,
Fri Jan 11 2019,7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,19812,Madison Square Garden (IV),
Fri Jan 11 2019,7:30p,Brooklyn Nets,105,Toronto Raptors,122,Box Score,,19800,Scotiabank Arena,
Fri Jan 11 2019,8:00p,Cleveland Cavaliers,113,Houston Rockets,141,Box Score,,18055,Toyota Center,
Fri Jan 11 2019,8:00p,Dallas Mavericks,119,Minnesota Timberwolves,115,Box Score,,18978,Target Center,
Fri Jan 11 2019,10:00p,Charlotte Hornets,96,Portland Trail Blazers,127,Box Score,,19393,Moda Center,
Fri Jan 11 2019,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,18306,Vivint Smart Home Arena,
Fri Jan 11 2019,10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,19596,Oracle Arena,
Sat Jan 12 2019,3:30p,Detroit Pistons,109,Los Angeles Clippers,104,Box Score,,16540,STAPLES Center,
Sat Jan 12 2019,5:00p,Memphis Grizzlies,108,Miami Heat,112,Box Score,,19600,AmericanAirlines Arena,
Sat Jan 12 2019,7:00p,Boston Celtics,103,Orlando Magic,105,Box Score,,18846,Amway Center,
Sat Jan 12 2019,8:00p,New Orleans Pelicans,106,Minnesota Timberwolves,110,Box Score,,16384,Target Center,
Sat Jan 12 2019,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,122,Box Score,,18203,Chesapeake Energy Arena,
Sat Jan 12 2019,9:00p,Denver Nuggets,93,Phoenix Suns,102,Box Score,,15246,Talking Stick Resort Arena,
Sat Jan 12 2019,10:00p,Charlotte Hornets,97,Sacramento Kings,104,Box Score,,17853,Golden 1 Center,
Sat Jan 12 2019,10:00p,Chicago Bulls,102,Utah Jazz,110,Box Score,,18306,Vivint Smart Home Arena,
Sun Jan 13 2019,1:00p,Philadelphia 76ers,108,New York Knicks,105,Box Score,,18596,Madison Square Garden (IV),
Sun Jan 13 2019,1:00p,Toronto Raptors,140,Washington Wizards,138,Box Score,2OT,16919,Capital One Arena,
Sun Jan 13 2019,3:30p,Milwaukee Bucks,133,Atlanta Hawks,114,Box Score,,16292,State Farm Arena,
Sun Jan 13 2019,6:00p,Houston Rockets,109,Orlando Magic,116,Box Score,,16982,Amway Center,
Sun Jan 13 2019,7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,20340,American Airlines Center,
Sun Jan 13 2019,8:00p,Portland Trail Blazers,113,Denver Nuggets,116,Box Score,,19520,Pepsi Center,
Sun Jan 13 2019,9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Mon Jan 14 2019,7:30p,Boston Celtics,102,Brooklyn Nets,109,Box Score,,16247,Barclays Center,
Mon Jan 14 2019,8:00p,Memphis Grizzlies,94,Houston Rockets,112,Box Score,,18055,Toyota Center,
Mon Jan 14 2019,8:30p,Charlotte Hornets,108,San Antonio Spurs,93,Box Score,,18354,AT&T Center,
Mon Jan 14 2019,9:00p,Detroit Pistons,94,Utah Jazz,100,Box Score,,18306,Vivint Smart Home Arena,
Mon Jan 14 2019,10:00p,Portland Trail Blazers,107,Sacramento Kings,115,Box Score,,17583,Golden 1 Center,
Mon Jan 14 2019,10:30p,New Orleans Pelicans,121,Los Angeles Clippers,117,Box Score,,15283,STAPLES Center,
Tue Jan 15 2019,7:00p,Phoenix Suns,97,Indiana Pacers,131,Box Score,,15698,Bankers Life Fieldhouse,
Tue Jan 15 2019,7:00p,Minnesota Timberwolves,107,Philadelphia 76ers,149,Box Score,,20265,Wells Fargo Center,
Tue Jan 15 2019,7:30p,Oklahoma City Thunder,126,Atlanta Hawks,142,Box Score,,15045,State Farm Arena,
Tue Jan 15 2019,8:00p,Miami Heat,86,Milwaukee Bucks,124,Box Score,,17626,Fiserv Forum,
Tue Jan 15 2019,9:00p,Golden State Warriors,142,Denver Nuggets,111,Box Score,,19896,Pepsi Center,
Tue Jan 15 2019,10:30p,Chicago Bulls,100,Los Angeles Lakers,107,Box Score,,18997,STAPLES Center,
Wed Jan 16 2019,7:00p,Orlando Magic,115,Detroit Pistons,120,Box Score,OT,14019,Little Caesars Arena,
Wed Jan 16 2019,8:00p,Toronto Raptors,108,Boston Celtics,117,Box Score,,18624,TD Garden,
Wed Jan 16 2019,8:00p,Brooklyn Nets,145,Houston Rockets,142,Box Score,OT,18055,Toyota Center,
Wed Jan 16 2019,8:00p,Milwaukee Bucks,111,Memphis Grizzlies,101,Box Score,,14921,FedEx Forum,
Wed Jan 16 2019,8:30p,San Antonio Spurs,105,Dallas Mavericks,101,Box Score,,20214,American Airlines Center,
Wed Jan 16 2019,10:00p,Cleveland Cavaliers,112,Portland Trail Blazers,129,Box Score,,19089,Moda Center,
Wed Jan 16 2019,10:30p,New Orleans Pelicans,140,Golden State Warriors,147,Box Score,,19596,Oracle Arena,
Wed Jan 16 2019,10:30p,Utah Jazz,129,Los Angeles Clippers,109,Box Score,,15535,STAPLES Center,
Thu Jan 17 2019,3:00p,New York Knicks,100,Washington Wizards,101,Box Score,,19078,The O2 Arena,at London England
Thu Jan 17 2019,7:00p,Sacramento Kings,95,Charlotte Hornets,114,Box Score,,15431,Spectrum Center,
Thu Jan 17 2019,7:00p,Philadelphia 76ers,120,Indiana Pacers,96,Box Score,,16007,Bankers Life Fieldhouse,
Thu Jan 17 2019,7:30p,Phoenix Suns,109,Toronto Raptors,111,Box Score,,19800,Scotiabank Arena,
Thu Jan 17 2019,9:00p,Chicago Bulls,105,Denver Nuggets,135,Box Score,,17289,Pepsi Center,
Thu Jan 17 2019,9:30p,Los Angeles Lakers,138,Oklahoma City Thunder,128,Box Score,OT,18203,Chesapeake Energy Arena,
Fri Jan 18 2019,7:00p,Memphis Grizzlies,116,Boston Celtics,122,Box Score,,18624,TD Garden,
Fri Jan 18 2019,7:00p,Miami Heat,93,Detroit Pistons,98,Box Score,,17228,Little Caesars Arena,
Fri Jan 18 2019,7:00p,Brooklyn Nets,117,Orlando Magic,115,Box Score,,17840,Amway Center,
Fri Jan 18 2019,8:00p,San Antonio Spurs,116,Minnesota Timberwolves,113,Box Score,,17222,Target Center,
Fri Jan 18 2019,9:00p,Cleveland Cavaliers,99,Utah Jazz,115,Box Score,,18306,Vivint Smart Home Arena,
Fri Jan 18 2019,10:30p,Golden State Warriors,112,Los Angeles Clippers,94,Box Score,,19068,STAPLES Center,
Fri Jan 18 2019,10:30p,New Orleans Pelicans,112,Portland Trail Blazers,128,Box Score,,19598,Moda Center,
Sat Jan 19 2019,3:30p,Oklahoma City Thunder,117,Philadelphia 76ers,115,Box Score,,20646,Wells Fargo Center,
Sat Jan 19 2019,5:00p,Phoenix Suns,115,Charlotte Hornets,135,Box Score,,19278,Spectrum Center,
Sat Jan 19 2019,7:00p,Sacramento Kings,103,Detroit Pistons,101,Box Score,,15377,Little Caesars Arena,
Sat Jan 19 2019,7:00p,Dallas Mavericks,99,Indiana Pacers,111,Box Score,,17508,Bankers Life Fieldhouse,
Sat Jan 19 2019,7:00p,Milwaukee Bucks,118,Orlando Magic,108,Box Score,,18846,Amway Center,
Sat Jan 19 2019,7:30p,Boston Celtics,113,Atlanta Hawks,105,Box Score,,16626,State Farm Arena,
Sat Jan 19 2019,7:30p,Memphis Grizzlies,90,Toronto Raptors,119,Box Score,,19800,Scotiabank Arena,
Sat Jan 19 2019,8:00p,Miami Heat,117,Chicago Bulls,103,Box Score,,20926,United Center,
Sat Jan 19 2019,8:30p,Los Angeles Lakers,134,Houston Rockets,138,Box Score,OT,18055,Toyota Center,
Sat Jan 19 2019,10:00p,Cleveland Cavaliers,102,Denver Nuggets,124,Box Score,,19520,Pepsi Center,
Sun Jan 20 2019,6:00p,Charlotte Hornets,95,Indiana Pacers,120,Box Score,,15015,Bankers Life Fieldhouse,
Sun Jan 20 2019,7:00p,Phoenix Suns,114,Minnesota Timberwolves,116,Box Score,,14607,Target Center,
Sun Jan 20 2019,7:00p,Los Angeles Clippers,103,San Antonio Spurs,95,Box Score,,18354,AT&T Center,
Mon Jan 21 2019,12:30p,Oklahoma City Thunder,127,New York Knicks,109,Box Score,,19493,Madison Square Garden (IV),
Mon Jan 21 2019,1:00p,Chicago Bulls,104,Cleveland Cavaliers,88,Box Score,,19432,Quicken Loans Arena,
Mon Jan 21 2019,2:00p,Dallas Mavericks,106,Milwaukee Bucks,116,Box Score,,17963,Fiserv Forum,
Mon Jan 21 2019,2:00p,Detroit Pistons,87,Washington Wizards,101,Box Score,,16229,Capital One Arena,
Mon Jan 21 2019,3:00p,Orlando Magic,122,Atlanta Hawks,103,Box Score,,16611,State Farm Arena,
Mon Jan 21 2019,3:30p,Sacramento Kings,94,Brooklyn Nets,123,Box Score,,14233,Barclays Center,
Mon Jan 21 2019,5:30p,New Orleans Pelicans,105,Memphis Grizzlies,85,Box Score,,17794,FedEx Forum,
Mon Jan 21 2019,6:00p,Miami Heat,99,Boston Celtics,107,Box Score,,18624,TD Garden,
Mon Jan 21 2019,8:00p,Houston Rockets,93,Philadelphia 76ers,121,Box Score,,20313,Wells Fargo Center,
Mon Jan 21 2019,9:00p,Portland Trail Blazers,109,Utah Jazz,104,Box Score,,18306,Vivint Smart Home Arena,
Mon Jan 21 2019,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,
Tue Jan 22 2019,7:00p,Sacramento Kings,105,Toronto Raptors,120,Box Score,,19800,Scotiabank Arena,
Tue Jan 22 2019,8:00p,Portland Trail Blazers,114,Oklahoma City Thunder,123,Box Score,,18203,Chesapeake Energy Arena,
Tue Jan 22 2019,8:30p,Los Angeles Clippers,98,Dallas Mavericks,106,Box Score,,19466,American Airlines Center,
