Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 25 2016,8:00p,Atlanta Hawks,68,Utah Jazz,95,Box Score,,19911,Vivint Smart Home Arena,
Fri Nov 25 2016,9:00p,Oklahoma City Thunder,132,Denver Nuggets,129,Box Score,OT,14327,Pepsi Center,
Fri Nov 25 2016,9:00p,Minnesota Timberwolves,98,Phoenix Suns,85,Box Score,,16728,Talking Stick Resort Arena,
Fri Nov 25 2016,10:00p,New Orleans Pelicans,104,Portland Trail Blazers,119,Box Score,,19393,Moda Center,
Fri Nov 25 2016,10:30p,Golden State Warriors,109,Los Angeles Lakers,85,Box Score,,18997,STAPLES Center,
Fri Nov 25 2016,10:30p,Houston Rockets,117,Sacramento Kings,104,Box Score,,17608,Golden 1 Center,
Sat Nov 26 2016,7:00p,New York Knicks,102,Charlotte Hornets,107,Box Score,,19195,Spectrum Center,
Sat Nov 26 2016,7:00p,San Antonio Spurs,112,Washington Wizards,100,Box Score,,17066,Verizon Center,
Sat Nov 26 2016,8:00p,Memphis Grizzlies,110,Miami Heat,107,Box Score,,19600,AmericanAirlines Arena,
Sat Nov 26 2016,8:00p,Detroit Pistons,88,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
Sat Nov 26 2016,10:30p,Minnesota Timberwolves,102,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
Sun Nov 27 2016,1:00p,Cleveland Cavaliers,112,Philadelphia 76ers,108,Box Score,,19311,Wells Fargo Center,
Sun Nov 27 2016,3:30p,Denver Nuggets,120,Phoenix Suns,114,Box Score,,15365,Talking Stick Resort Arena,
Sun Nov 27 2016,6:00p,Sacramento Kings,122,Brooklyn Nets,105,Box Score,,13646,Barclays Center,
Sun Nov 27 2016,6:00p,Los Angeles Clippers,70,Indiana Pacers,91,Box Score,,15572,Bankers Life Fieldhouse,
Sun Nov 27 2016,6:00p,Milwaukee Bucks,104,Orlando Magic,96,Box Score,,16521,Amway Center,
Sun Nov 27 2016,7:00p,New Orleans Pelicans,81,Dallas Mavericks,91,Box Score,,19302,American Airlines Center,
Sun Nov 27 2016,9:00p,Houston Rockets,130,Portland Trail Blazers,114,Box Score,,19393,Moda Center,
Sun Nov 27 2016,9:30p,Atlanta Hawks,94,Los Angeles Lakers,109,Box Score,,18997,STAPLES Center,
Mon Nov 28 2016,7:00p,Sacramento Kings,95,Washington Wizards,101,Box Score,OT,12571,Verizon Center,
Mon Nov 28 2016,7:30p,Boston Celtics,112,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,
Mon Nov 28 2016,7:30p,Oklahoma City Thunder,112,New York Knicks,103,Box Score,,19812,Madison Square Garden (IV),
Mon Nov 28 2016,7:30p,Philadelphia 76ers,95,Toronto Raptors,122,Box Score,,19800,Air Canada Centre,
Mon Nov 28 2016,8:00p,Charlotte Hornets,104,Memphis Grizzlies,85,Box Score,,13143,FedEx Forum,
Mon Nov 28 2016,8:00p,Utah Jazz,112,Minnesota Timberwolves,103,Box Score,,9384,Target Center,
Mon Nov 28 2016,10:30p,Atlanta Hawks,100,Golden State Warriors,105,Box Score,,19596,Oracle Arena,
Tue Nov 29 2016,7:00p,Detroit Pistons,112,Charlotte Hornets,89,Box Score,,14266,Spectrum Center,
Tue Nov 29 2016,7:30p,Los Angeles Clippers,122,Brooklyn Nets,127,Box Score,2OT,15681,Barclays Center,
Tue Nov 29 2016,8:00p,Cleveland Cavaliers,101,Milwaukee Bucks,118,Box Score,,16559,BMO Harris Bradley Center,
Tue Nov 29 2016,8:00p,Los Angeles Lakers,88,New Orleans Pelicans,105,Box Score,,14024,Smoothie King Center,
Tue Nov 29 2016,8:30p,Orlando Magic,95,San Antonio Spurs,83,Box Score,,18418,AT&T Center,
Tue Nov 29 2016,9:00p,Houston Rockets,101,Utah Jazz,120,Box Score,,19911,Vivint Smart Home Arena,
Wed Nov 30 2016,7:30p,Detroit Pistons,121,Boston Celtics,114,Box Score,,17338,TD Garden,
Wed Nov 30 2016,7:30p,Memphis Grizzlies,105,Toronto Raptors,120,Box Score,,19800,Air Canada Centre,
Wed Nov 30 2016,8:00p,Los Angeles Lakers,96,Chicago Bulls,90,Box Score,,21773,United Center,
Wed Nov 30 2016,8:00p,New York Knicks,106,Minnesota Timberwolves,104,Box Score,,13987,Target Center,
Wed Nov 30 2016,8:00p,Washington Wizards,115,Oklahoma City Thunder,126,Box Score,OT,18203,Chesapeake Energy Arena,
Wed Nov 30 2016,8:30p,San Antonio Spurs,94,Dallas Mavericks,87,Box Score,,19245,American Airlines Center,
Wed Nov 30 2016,9:00p,Miami Heat,106,Denver Nuggets,98,Box Score,,11471,Pepsi Center,
Wed Nov 30 2016,9:00p,Atlanta Hawks,107,Phoenix Suns,109,Box Score,,15909,Talking Stick Resort Arena,
Wed Nov 30 2016,10:00p,Indiana Pacers,109,Portland Trail Blazers,131,Box Score,,19107,Moda Center,
Thu Dec 1 2016,7:00p,Dallas Mavericks,87,Charlotte Hornets,97,Box Score,,14471,Spectrum Center,
Thu Dec 1 2016,7:30p,Milwaukee Bucks,111,Brooklyn Nets,93,Box Score,,12675,Barclays Center,
Thu Dec 1 2016,8:00p,Los Angeles Clippers,113,Cleveland Cavaliers,94,Box Score,,20562,Quicken Loans Arena,
Thu Dec 1 2016,8:00p,Orlando Magic,94,Memphis Grizzlies,95,Box Score,,13344,FedEx Forum,
Thu Dec 1 2016,9:00p,Miami Heat,111,Utah Jazz,110,Box Score,,19073,Vivint Smart Home Arena,
Thu Dec 1 2016,10:30p,Houston Rockets,132,Golden State Warriors,127,Box Score,2OT,19596,Oracle Arena,
Fri Dec 2 2016,7:00p,Orlando Magic,105,Philadelphia 76ers,88,Box Score,,13711,Wells Fargo Center,
Fri Dec 2 2016,7:30p,Sacramento Kings,92,Boston Celtics,97,Box Score,,18624,TD Garden,
Fri Dec 2 2016,7:30p,Minnesota Timberwolves,114,New York Knicks,118,Box Score,,19812,Madison Square Garden (IV),
Fri Dec 2 2016,7:30p,Los Angeles Lakers,80,Toronto Raptors,113,Box Score,,19800,Air Canada Centre,
Fri Dec 2 2016,8:00p,Detroit Pistons,121,Atlanta Hawks,85,Box Score,,15500,Philips Arena,
Fri Dec 2 2016,8:00p,Cleveland Cavaliers,105,Chicago Bulls,111,Box Score,,21775,United Center,
Fri Dec 2 2016,8:00p,Los Angeles Clippers,114,New Orleans Pelicans,96,Box Score,,16538,Smoothie King Center,
Fri Dec 2 2016,8:30p,Washington Wizards,105,San Antonio Spurs,107,Box Score,,18418,AT&T Center,
Fri Dec 2 2016,10:30p,Houston Rockets,128,Denver Nuggets,110,Box Score,,15549,Pepsi Center,
Sat Dec 3 2016,5:00p,Brooklyn Nets,103,Milwaukee Bucks,112,Box Score,,15565,BMO Harris Bradley Center,
Sat Dec 3 2016,7:00p,Minnesota Timberwolves,125,Charlotte Hornets,120,Box Score,OT,16982,Spectrum Center,
Sat Dec 3 2016,7:30p,Boston Celtics,107,Philadelphia 76ers,106,Box Score,,17063,Wells Fargo Center,
Sat Dec 3 2016,7:30p,Atlanta Hawks,84,Toronto Raptors,128,Box Score,,19800,Air Canada Centre,
Sat Dec 3 2016,8:00p,Los Angeles Lakers,100,Memphis Grizzlies,103,Box Score,,17017,FedEx Forum,
Sat Dec 3 2016,8:30p,Chicago Bulls,82,Dallas Mavericks,107,Box Score,,19857,American Airlines Center,
Sat Dec 3 2016,9:00p,Denver Nuggets,98,Utah Jazz,105,Box Score,,19911,Vivint Smart Home Arena,
Sat Dec 3 2016,10:00p,Miami Heat,92,Portland Trail Blazers,99,Box Score,,19393,Moda Center,
Sat Dec 3 2016,10:30p,Phoenix Suns,109,Golden State Warriors,138,Box Score,,19596,Oracle Arena,
Sun Dec 4 2016,6:00p,Orlando Magic,98,Detroit Pistons,92,Box Score,,15206,The Palace of Auburn Hills,
Sun Dec 4 2016,7:00p,New Orleans Pelicans,92,Oklahoma City Thunder,101,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 4 2016,7:30p,Sacramento Kings,98,New York Knicks,106,Box Score,,19812,Madison Square Garden (IV),
Sun Dec 4 2016,9:30p,Indiana Pacers,111,Los Angeles Clippers,102,Box Score,,19060,STAPLES Center,
Mon Dec 5 2016,7:00p,Denver Nuggets,106,Philadelphia 76ers,98,Box Score,,11815,Wells Fargo Center,
Mon Dec 5 2016,7:30p,Oklahoma City Thunder,102,Atlanta Hawks,99,Box Score,,14654,Philips Arena,
Mon Dec 5 2016,7:30p,Washington Wizards,118,Brooklyn Nets,113,Box Score,,12529,Barclays Center,
Mon Dec 5 2016,7:30p,Cleveland Cavaliers,116,Toronto Raptors,112,Box Score,,19800,Air Canada Centre,
Mon Dec 5 2016,8:00p,Portland Trail Blazers,112,Chicago Bulls,110,Box Score,,21351,United Center,
Mon Dec 5 2016,8:00p,Boston Celtics,106,Houston Rockets,107,Box Score,,15730,Toyota Center,
Mon Dec 5 2016,8:00p,San Antonio Spurs,97,Milwaukee Bucks,96,Box Score,,14256,BMO Harris Bradley Center,
Mon Dec 5 2016,8:00p,Memphis Grizzlies,110,New Orleans Pelicans,108,Box Score,2OT,13795,Smoothie King Center,
Mon Dec 5 2016,8:30p,Charlotte Hornets,109,Dallas Mavericks,101,Box Score,,19228,American Airlines Center,
Mon Dec 5 2016,10:30p,Indiana Pacers,106,Golden State Warriors,142,Box Score,,19596,Oracle Arena,
Mon Dec 5 2016,10:30p,Utah Jazz,107,Los Angeles Lakers,101,Box Score,,18279,STAPLES Center,
Tue Dec 6 2016,7:00p,Orlando Magic,124,Washington Wizards,116,Box Score,,12116,Verizon Center,
Tue Dec 6 2016,7:30p,Chicago Bulls,91,Detroit Pistons,102,Box Score,,14305,The Palace of Auburn Hills,
Tue Dec 6 2016,7:30p,New York Knicks,114,Miami Heat,103,Box Score,,19610,AmericanAirlines Arena,
Tue Dec 6 2016,8:00p,Philadelphia 76ers,91,Memphis Grizzlies,96,Box Score,,13521,FedEx Forum,
Tue Dec 6 2016,8:00p,San Antonio Spurs,105,Minnesota Timberwolves,91,Box Score,,12585,Target Center,
Tue Dec 6 2016,9:00p,Phoenix Suns,105,Utah Jazz,112,Box Score,,18997,Vivint Smart Home Arena,
Wed Dec 7 2016,7:00p,Detroit Pistons,77,Charlotte Hornets,87,Box Score,,15141,Spectrum Center,
Wed Dec 7 2016,7:00p,Boston Celtics,117,Orlando Magic,87,Box Score,,17009,Amway Center,
Wed Dec 7 2016,7:30p,Miami Heat,95,Atlanta Hawks,103,Box Score,,11326,Philips Arena,
Wed Dec 7 2016,7:30p,Denver Nuggets,111,Brooklyn Nets,116,Box Score,,14159,Barclays Center,
Wed Dec 7 2016,8:00p,Los Angeles Lakers,95,Houston Rockets,134,Box Score,,16141,Toyota Center,
Wed Dec 7 2016,8:00p,Portland Trail Blazers,107,Milwaukee Bucks,115,Box Score,,14033,BMO Harris Bradley Center,
Wed Dec 7 2016,8:00p,Cleveland Cavaliers,126,New York Knicks,94,Box Score,,19812,Madison Square Garden (IV),
Wed Dec 7 2016,8:30p,Sacramento Kings,120,Dallas Mavericks,89,Box Score,,19711,American Airlines Center,
Wed Dec 7 2016,9:00p,Indiana Pacers,109,Phoenix Suns,94,Box Score,,17452,Talking Stick Resort Arena,
Wed Dec 7 2016,10:30p,Golden State Warriors,115,Los Angeles Clippers,98,Box Score,,19239,STAPLES Center,
Thu Dec 8 2016,7:00p,Minnesota Timberwolves,110,Toronto Raptors,124,Box Score,,19800,Air Canada Centre,
Thu Dec 8 2016,7:00p,Denver Nuggets,85,Washington Wizards,92,Box Score,,12645,Verizon Center,
Thu Dec 8 2016,8:00p,Portland Trail Blazers,86,Memphis Grizzlies,88,Box Score,,14317,FedEx Forum,
Thu Dec 8 2016,8:00p,Philadelphia 76ers,99,New Orleans Pelicans,88,Box Score,,14158,Smoothie King Center,
Thu Dec 8 2016,9:00p,Golden State Warriors,106,Utah Jazz,99,Box Score,,19911,Vivint Smart Home Arena,
Thu Dec 8 2016,9:30p,San Antonio Spurs,91,Chicago Bulls,95,Box Score,,21489,United Center,
Fri Dec 9 2016,7:00p,Orlando Magic,88,Charlotte Hornets,109,Box Score,,15707,Spectrum Center,
Fri Dec 9 2016,7:30p,Toronto Raptors,101,Boston Celtics,94,Box Score,,18624,TD Garden,
Fri Dec 9 2016,7:30p,Miami Heat,84,Cleveland Cavaliers,114,Box Score,,20562,Quicken Loans Arena,
Fri Dec 9 2016,8:00p,Atlanta Hawks,114,Milwaukee Bucks,110,Box Score,,16289,BMO Harris Bradley Center,
Fri Dec 9 2016,8:00p,Detroit Pistons,117,Minnesota Timberwolves,90,Box Score,,14109,Target Center,
Fri Dec 9 2016,8:00p,Houston Rockets,102,Oklahoma City Thunder,99,Box Score,,18203,Chesapeake Energy Arena,
Fri Dec 9 2016,8:30p,Indiana Pacers,103,Dallas Mavericks,111,Box Score,,19486,American Airlines Center,
Fri Dec 9 2016,10:30p,Phoenix Suns,119,Los Angeles Lakers,115,Box Score,,18997,STAPLES Center,
Fri Dec 9 2016,10:30p,New York Knicks,103,Sacramento Kings,100,Box Score,,17608,Golden 1 Center,
Sat Dec 10 2016,7:00p,Portland Trail Blazers,111,Indiana Pacers,118,Box Score,,16211,Bankers Life Fieldhouse,
Sat Dec 10 2016,7:00p,Denver Nuggets,121,Orlando Magic,113,Box Score,,17010,Amway Center,
Sat Dec 10 2016,7:00p,Milwaukee Bucks,105,Washington Wizards,110,Box Score,,14816,Verizon Center,
Sat Dec 10 2016,7:30p,Charlotte Hornets,105,Cleveland Cavaliers,116,Box Score,,20562,Quicken Loans Arena,
Sat Dec 10 2016,8:00p,Miami Heat,100,Chicago Bulls,105,Box Score,,21450,United Center,
Sat Dec 10 2016,8:00p,Dallas Mavericks,87,Houston Rockets,109,Box Score,,15761,Toyota Center,
Sat Dec 10 2016,8:00p,Golden State Warriors,89,Memphis Grizzlies,110,Box Score,,18119,FedEx Forum,
Sat Dec 10 2016,8:30p,Brooklyn Nets,101,San Antonio Spurs,130,Box Score,,18418,AT&T Center,
Sat Dec 10 2016,9:00p,Sacramento Kings,84,Utah Jazz,104,Box Score,,19331,Vivint Smart Home Arena,
Sat Dec 10 2016,10:30p,New Orleans Pelicans,105,Los Angeles Clippers,133,Box Score,,19060,STAPLES Center,
Sun Dec 11 2016,6:00p,Philadelphia 76ers,97,Detroit Pistons,79,Box Score,,7244,The Palace of Auburn Hills,
Sun Dec 11 2016,7:00p,Golden State Warriors,116,Minnesota Timberwolves,108,Box Score,,18452,Target Center,
Sun Dec 11 2016,7:00p,Boston Celtics,96,Oklahoma City Thunder,99,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 11 2016,8:30p,New Orleans Pelicans,120,Phoenix Suns,119,Box Score,OT,16949,Talking Stick Resort Arena,
Sun Dec 11 2016,9:30p,New York Knicks,118,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Mon Dec 12 2016,7:00p,Charlotte Hornets,94,Indiana Pacers,110,Box Score,,14138,Bankers Life Fieldhouse,
Mon Dec 12 2016,7:30p,Washington Wizards,101,Miami Heat,112,Box Score,,19600,AmericanAirlines Arena,
Mon Dec 12 2016,7:30p,Milwaukee Bucks,100,Toronto Raptors,122,Box Score,,19800,Air Canada Centre,
Mon Dec 12 2016,8:00p,Brooklyn Nets,118,Houston Rockets,122,Box Score,,13619,Toyota Center,
Mon Dec 12 2016,8:30p,Denver Nuggets,92,Dallas Mavericks,112,Box Score,,19425,American Airlines Center,
Mon Dec 12 2016,10:30p,Portland Trail Blazers,120,Los Angeles Clippers,121,Box Score,,19060,STAPLES Center,
Mon Dec 12 2016,10:30p,Los Angeles Lakers,92,Sacramento Kings,116,Box Score,,17608,Golden 1 Center,
Tue Dec 13 2016,7:00p,Memphis Grizzlies,86,Cleveland Cavaliers,103,Box Score,,20562,Quicken Loans Arena,
Tue Dec 13 2016,7:30p,Orlando Magic,131,Atlanta Hawks,120,Box Score,,13585,Philips Arena,
Tue Dec 13 2016,8:00p,Minnesota Timberwolves,99,Chicago Bulls,94,Box Score,,21146,United Center,
Tue Dec 13 2016,8:00p,Golden State Warriors,113,New Orleans Pelicans,109,Box Score,,17789,Smoothie King Center,
Tue Dec 13 2016,9:00p,New York Knicks,111,Phoenix Suns,113,Box Score,OT,16429,Talking Stick Resort Arena,
Tue Dec 13 2016,10:30p,Oklahoma City Thunder,95,Portland Trail Blazers,114,Box Score,,19505,Moda Center,
Wed Dec 14 2016,7:00p,Indiana Pacers,89,Miami Heat,95,Box Score,,19600,AmericanAirlines Arena,
Wed Dec 14 2016,7:00p,Los Angeles Clippers,113,Orlando Magic,108,Box Score,,18846,Amway Center,
Wed Dec 14 2016,7:00p,Toronto Raptors,123,Philadelphia 76ers,114,Box Score,,16192,Wells Fargo Center,
Wed Dec 14 2016,7:00p,Charlotte Hornets,106,Washington Wizards,109,Box Score,,13447,Verizon Center,
Wed Dec 14 2016,7:30p,Los Angeles Lakers,97,Brooklyn Nets,107,Box Score,,17732,Barclays Center,
Wed Dec 14 2016,8:00p,Sacramento Kings,98,Houston Rockets,132,Box Score,,15039,Toyota Center,
Wed Dec 14 2016,8:00p,Cleveland Cavaliers,85,Memphis Grizzlies,93,Box Score,,17449,FedEx Forum,
Wed Dec 14 2016,8:30p,Detroit Pistons,95,Dallas Mavericks,85,Box Score,,19687,American Airlines Center,
Wed Dec 14 2016,9:00p,Oklahoma City Thunder,89,Utah Jazz,109,Box Score,,19911,Vivint Smart Home Arena,
Wed Dec 14 2016,9:30p,Boston Celtics,101,San Antonio Spurs,108,Box Score,,18418,AT&T Center,
Thu Dec 15 2016,8:00p,Chicago Bulls,97,Milwaukee Bucks,108,Box Score,,16704,BMO Harris Bradley Center,
Thu Dec 15 2016,8:00p,Indiana Pacers,95,New Orleans Pelicans,102,Box Score,,15472,Smoothie King Center,
Thu Dec 15 2016,9:00p,Portland Trail Blazers,120,Denver Nuggets,132,Box Score,,10022,Pepsi Center,
Thu Dec 15 2016,9:00p,San Antonio Spurs,107,Phoenix Suns,92,Box Score,,17165,Talking Stick Resort Arena,
Thu Dec 15 2016,10:30p,New York Knicks,90,Golden State Warriors,103,Box Score,,19596,Oracle Arena,
Fri Dec 16 2016,7:00p,Brooklyn Nets,111,Orlando Magic,118,Box Score,,17668,Amway Center,
Fri Dec 16 2016,7:00p,Detroit Pistons,108,Washington Wizards,122,Box Score,,15573,Verizon Center,
Fri Dec 16 2016,7:30p,Charlotte Hornets,88,Boston Celtics,96,Box Score,,18624,TD Garden,
Fri Dec 16 2016,7:30p,Atlanta Hawks,125,Toronto Raptors,121,Box Score,,19800,Air Canada Centre,
Fri Dec 16 2016,8:00p,Milwaukee Bucks,95,Chicago Bulls,69,Box Score,,21324,United Center,
Fri Dec 16 2016,8:00p,New Orleans Pelicans,100,Houston Rockets,122,Box Score,,16728,Toyota Center,
Fri Dec 16 2016,8:00p,Sacramento Kings,96,Memphis Grizzlies,92,Box Score,,15987,FedEx Forum,
Fri Dec 16 2016,8:00p,Los Angeles Clippers,102,Miami Heat,98,Box Score,,19600,AmericanAirlines Arena,
Fri Dec 16 2016,8:00p,Los Angeles Lakers,100,Philadelphia 76ers,89,Box Score,,20491,Wells Fargo Center,
Fri Dec 16 2016,10:30p,Dallas Mavericks,100,Utah Jazz,103,Box Score,,18721,Vivint Smart Home Arena,
Sat Dec 17 2016,5:00p,Phoenix Suns,101,Oklahoma City Thunder,114,Box Score,,18203,Chesapeake Energy Arena,
Sat Dec 17 2016,7:00p,Indiana Pacers,105,Detroit Pistons,90,Box Score,,15231,The Palace of Auburn Hills,
Sat Dec 17 2016,7:30p,Charlotte Hornets,107,Atlanta Hawks,99,Box Score,,17918,Philips Arena,
Sat Dec 17 2016,7:30p,Los Angeles Lakers,108,Cleveland Cavaliers,119,Box Score,,20562,Quicken Loans Arena,
Sat Dec 17 2016,8:00p,Houston Rockets,111,Minnesota Timberwolves,109,Box Score,OT,14689,Target Center,
Sat Dec 17 2016,9:00p,New York Knicks,114,Denver Nuggets,127,Box Score,,12042,Pepsi Center,
Sat Dec 17 2016,10:30p,Portland Trail Blazers,90,Golden State Warriors,135,Box Score,,19596,Oracle Arena,
Sun Dec 18 2016,3:30p,Los Angeles Clippers,110,Washington Wizards,117,Box Score,,17380,Verizon Center,
Sun Dec 18 2016,4:00p,Sacramento Kings,79,Dallas Mavericks,99,Box Score,,19504,American Airlines Center,
Sun Dec 18 2016,6:00p,Utah Jazz,82,Memphis Grizzlies,73,Box Score,,15862,FedEx Forum,
Sun Dec 18 2016,6:00p,Boston Celtics,105,Miami Heat,95,Box Score,,19600,AmericanAirlines Arena,
Sun Dec 18 2016,6:00p,Toronto Raptors,109,Orlando Magic,79,Box Score,,17251,Amway Center,
Sun Dec 18 2016,6:00p,Brooklyn Nets,107,Philadelphia 76ers,108,Box Score,,16460,Wells Fargo Center,
Sun Dec 18 2016,7:00p,New Orleans Pelicans,100,San Antonio Spurs,113,Box Score,,18615,AT&T Center,
Mon Dec 19 2016,7:00p,Washington Wizards,105,Indiana Pacers,107,Box Score,,17686,Bankers Life Fieldhouse,
Mon Dec 19 2016,8:00p,Detroit Pistons,82,Chicago Bulls,113,Box Score,,21400,United Center,
Mon Dec 19 2016,8:00p,Phoenix Suns,108,Minnesota Timberwolves,115,Box Score,,12008,Target Center,
Mon Dec 19 2016,8:00p,Atlanta Hawks,110,Oklahoma City Thunder,108,Box Score,,18203,Chesapeake Energy Arena,
Mon Dec 19 2016,9:00p,Dallas Mavericks,107,Denver Nuggets,117,Box Score,,12581,Pepsi Center,
Tue Dec 20 2016,7:00p,Los Angeles Lakers,113,Charlotte Hornets,117,Box Score,,19093,Spectrum Center,
Tue Dec 20 2016,7:00p,New Orleans Pelicans,108,Philadelphia 76ers,93,Box Score,,16322,Wells Fargo Center,
Tue Dec 20 2016,7:30p,Orlando Magic,136,Miami Heat,130,Box Score,2OT,19600,AmericanAirlines Arena,
Tue Dec 20 2016,7:30p,Indiana Pacers,111,New York Knicks,118,Box Score,,19812,Madison Square Garden (IV),
Tue Dec 20 2016,7:30p,Brooklyn Nets,104,Toronto Raptors,116,Box Score,,19800,Air Canada Centre,
Tue Dec 20 2016,8:00p,San Antonio Spurs,102,Houston Rockets,100,Box Score,,18055,Toyota Center,
Tue Dec 20 2016,8:00p,Boston Celtics,112,Memphis Grizzlies,109,Box Score,OT,16519,FedEx Forum,
Tue Dec 20 2016,8:00p,Cleveland Cavaliers,114,Milwaukee Bucks,108,Box Score,OT,17053,BMO Harris Bradley Center,
Tue Dec 20 2016,10:30p,Utah Jazz,74,Golden State Warriors,104,Box Score,,19596,Oracle Arena,
Tue Dec 20 2016,10:30p,Denver Nuggets,102,Los Angeles Clippers,119,Box Score,,19060,STAPLES Center,
Tue Dec 20 2016,10:30p,Portland Trail Blazers,121,Sacramento Kings,126,Box Score,,17608,Golden 1 Center,
Wed Dec 21 2016,7:00p,Milwaukee Bucks,102,Cleveland Cavaliers,113,Box Score,,20562,Quicken Loans Arena,
Wed Dec 21 2016,7:30p,Minnesota Timberwolves,92,Atlanta Hawks,84,Box Score,,17578,Philips Arena,
Wed Dec 21 2016,7:30p,Memphis Grizzlies,98,Detroit Pistons,86,Box Score,,16033,The Palace of Auburn Hills,
Wed Dec 21 2016,8:00p,Washington Wizards,107,Chicago Bulls,97,Box Score,,21358,United Center,
Wed Dec 21 2016,8:00p,Oklahoma City Thunder,121,New Orleans Pelicans,110,Box Score,,16375,Smoothie King Center,
Wed Dec 21 2016,9:00p,Houston Rockets,125,Phoenix Suns,111,Box Score,,18055,Talking Stick Resort Arena,
Wed Dec 21 2016,9:00p,Sacramento Kings,94,Utah Jazz,93,Box Score,,19195,Vivint Smart Home Arena,
Wed Dec 21 2016,10:00p,Dallas Mavericks,96,Portland Trail Blazers,95,Box Score,,19393,Moda Center,
Thu Dec 22 2016,7:00p,Boston Celtics,109,Indiana Pacers,102,Box Score,,17577,Bankers Life Fieldhouse,
Thu Dec 22 2016,7:30p,Golden State Warriors,117,Brooklyn Nets,101,Box Score,,17732,Barclays Center,
Thu Dec 22 2016,7:30p,Orlando Magic,95,New York Knicks,106,Box Score,,19812,Madison Square Garden (IV),
Thu Dec 22 2016,8:00p,Los Angeles Lakers,107,Miami Heat,115,Box Score,,19712,AmericanAirlines Arena,
Thu Dec 22 2016,10:30p,San Antonio Spurs,101,Los Angeles Clippers,106,Box Score,,19060,STAPLES Center,
Fri Dec 23 2016,7:00p,Chicago Bulls,91,Charlotte Hornets,103,Box Score,,19249,Spectrum Center,
Fri Dec 23 2016,7:00p,Los Angeles Lakers,90,Orlando Magic,109,Box Score,,18846,Amway Center,
Fri Dec 23 2016,7:30p,Oklahoma City Thunder,117,Boston Celtics,112,Box Score,,18624,TD Garden,
Fri Dec 23 2016,7:30p,Brooklyn Nets,99,Cleveland Cavaliers,119,Box Score,,20562,Quicken Loans Arena,
Fri Dec 23 2016,7:30p,Golden State Warriors,119,Detroit Pistons,113,Box Score,,21012,The Palace of Auburn Hills,
Fri Dec 23 2016,8:00p,Houston Rockets,109,Memphis Grizzlies,115,Box Score,,17454,FedEx Forum,
Fri Dec 23 2016,8:00p,Washington Wizards,96,Milwaukee Bucks,123,Box Score,,15921,BMO Harris Bradley Center,
Fri Dec 23 2016,8:00p,Sacramento Kings,109,Minnesota Timberwolves,105,Box Score,,13288,Target Center,
Fri Dec 23 2016,8:00p,Miami Heat,87,New Orleans Pelicans,91,Box Score,,16322,Smoothie King Center,
Fri Dec 23 2016,9:00p,Atlanta Hawks,109,Denver Nuggets,108,Box Score,,13823,Pepsi Center,
Fri Dec 23 2016,9:00p,Philadelphia 76ers,116,Phoenix Suns,123,Box Score,,16535,Talking Stick Resort Arena,
Fri Dec 23 2016,9:00p,Toronto Raptors,104,Utah Jazz,98,Box Score,,19911,Vivint Smart Home Arena,
Fri Dec 23 2016,10:00p,San Antonio Spurs,110,Portland Trail Blazers,90,Box Score,,19393,Moda Center,
Fri Dec 23 2016,10:30p,Dallas Mavericks,90,Los Angeles Clippers,88,Box Score,,19060,STAPLES Center,
Sun Dec 25 2016,12:00p,Boston Celtics,119,New York Knicks,114,Box Score,,19812,Madison Square Garden (IV),
Sun Dec 25 2016,2:30p,Golden State Warriors,108,Cleveland Cavaliers,109,Box Score,,20562,Quicken Loans Arena,
Sun Dec 25 2016,5:00p,Chicago Bulls,100,San Antonio Spurs,119,Box Score,,18428,AT&T Center,
Sun Dec 25 2016,8:00p,Minnesota Timberwolves,100,Oklahoma City Thunder,112,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 25 2016,10:30p,Los Angeles Clippers,102,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,
Mon Dec 26 2016,7:00p,Memphis Grizzlies,102,Orlando Magic,112,Box Score,,17104,Amway Center,
Mon Dec 26 2016,7:00p,Milwaukee Bucks,102,Washington Wizards,107,Box Score,,15773,Verizon Center,
Mon Dec 26 2016,7:30p,Charlotte Hornets,118,Brooklyn Nets,120,Box Score,,17732,Barclays Center,
Mon Dec 26 2016,7:30p,Cleveland Cavaliers,90,Detroit Pistons,106,Box Score,,18123,The Palace of Auburn Hills,
Mon Dec 26 2016,8:00p,Indiana Pacers,85,Chicago Bulls,90,Box Score,,21922,United Center,
Mon Dec 26 2016,8:00p,Phoenix Suns,115,Houston Rockets,131,Box Score,,18055,Toyota Center,
Mon Dec 26 2016,8:00p,Atlanta Hawks,90,Minnesota Timberwolves,104,Box Score,,15617,Target Center,
Mon Dec 26 2016,8:00p,Dallas Mavericks,104,New Orleans Pelicans,111,Box Score,,15764,Smoothie King Center,
